sep=,
FREQ_4,y001,x001,y002,x002,y003,x003,y004,x004,y005,x005,y006,x006,y007,x007,y008,x008
2002/09/30,1.0240000000,0.4592593947,1.0280000000,0.4596177918,1.0320000000,0.4599688014,1.0360000000,0.4603118620,1.0400000000,0.4606464247,1.0440000000,0.4609719544,1.0480000000,0.4612879302,1.0520000000,0.4615938467
2002/12/31,1.0260000000,0.4601177918,1.0300000000,0.4604688014,1.0340000000,0.4608118620,1.0380000000,0.4611464247,1.0420000000,0.4614719544,1.0460000000,0.4617879302,1.0500000000,0.4620938467,1.0540000000,0.4623892145
2003/03/31,1.0280000000,0.4609688014,1.0320000000,0.4613118620,1.0360000000,0.4616464247,1.0400000000,0.4619719544,1.0440000000,0.4622879302,1.0480000000,0.4625938467,1.0520000000,0.4628892145,1.0560000000,0.4631735609
2003/06/30,1.0300000000,0.4618118620,1.0340000000,0.4621464247,1.0380000000,0.4624719544,1.0420000000,0.4627879302,1.0460000000,0.4630938467,1.0500000000,0.4633892145,1.0540000000,0.4636735609,1.0580000000,0.4639464312
2003/09/30,1.0320000000,0.4626464247,1.0360000000,0.4629719544,1.0400000000,0.4632879302,1.0440000000,0.4635938467,1.0480000000,0.4638892145,1.0520000000,0.4641735609,1.0560000000,0.4644464312,1.0600000000,0.4647073888
2003/12/31,1.0340000000,0.4634719544,1.0380000000,0.4637879302,1.0420000000,0.4640938467,1.0460000000,0.4643892145,1.0500000000,0.4646735609,1.0540000000,0.4649464312,1.0580000000,0.4652073888,1.0620000000,0.4654560162
2004/03/31,1.0360000000,0.4642879302,1.0400000000,0.4645938467,1.0440000000,0.4648892145,1.0480000000,0.4651735609,1.0520000000,0.4654464312,1.0560000000,0.4657073888,1.0600000000,0.4659560162,1.0640000000,0.4661919157
2004/06/30,1.0380000000,0.4650938467,1.0420000000,0.4653892145,1.0460000000,0.4656735609,1.0500000000,0.4659464312,1.0540000000,0.4662073888,1.0580000000,0.4664560162,1.0620000000,0.4666919157,1.0660000000,0.4669147098
2004/09/30,1.0400000000,0.4658892145,1.0440000000,0.4661735609,1.0480000000,0.4664464312,1.0520000000,0.4667073888,1.0560000000,0.4669560162,1.0600000000,0.4671919157,1.0640000000,0.4674147098,1.0680000000,0.4676240423
2004/12/31,1.0420000000,0.4666735609,1.0460000000,0.4669464312,1.0500000000,0.4672073888,1.0540000000,0.4674560162,1.0580000000,0.4676919157,1.0620000000,0.4679147098,1.0660000000,0.4681240423,1.0700000000,0.4683195781
2005/03/31,1.0440000000,0.4674464312,1.0480000000,0.4677073888,1.0520000000,0.4679560162,1.0560000000,0.4681919157,1.0600000000,0.4684147098,1.0640000000,0.4686240423,1.0680000000,0.4688195781,1.0720000000,0.4690010044
2005/06/30,1.0460000000,0.4682073888,1.0500000000,0.4684560162,1.0540000000,0.4686919157,1.0580000000,0.4689147098,1.0620000000,0.4691240423,1.0660000000,0.4693195781,1.0700000000,0.4695010044,1.0740000000,0.4696680311
2005/09/30,1.0480000000,0.4689560162,1.0520000000,0.4691919157,1.0560000000,0.4694147098,1.0600000000,0.4696240423,1.0640000000,0.4698195781,1.0680000000,0.4700010044,1.0720000000,0.4701680311,1.0760000000,0.4703203909
2005/12/31,1.0500000000,0.4696919157,1.0540000000,0.4699147098,1.0580000000,0.4701240423,1.0620000000,0.4703195781,1.0660000000,0.4705010044,1.0700000000,0.4706680311,1.0740000000,0.4708203909,1.0780000000,0.4709578400
2006/03/31,1.0520000000,0.4704147098,1.0560000000,0.4706240423,1.0600000000,0.4708195781,1.0640000000,0.4710010044,1.0680000000,0.4711680311,1.0720000000,0.4713203909,1.0760000000,0.4714578400,1.0800000000,0.4715801586
2006/06/30,1.0540000000,0.4711240423,1.0580000000,0.4713195781,1.0620000000,0.4715010044,1.0660000000,0.4716680311,1.0700000000,0.4718203909,1.0740000000,0.4719578400,1.0780000000,0.4720801586,1.0820000000,0.4721871510
2006/09/30,1.0560000000,0.4718195781,1.0600000000,0.4720010044,1.0640000000,0.4721680311,1.0680000000,0.4723203909,1.0720000000,0.4724578400,1.0760000000,0.4725801586,1.0800000000,0.4726871510,1.0840000000,0.4727786460
2006/12/31,1.0580000000,0.4725010044,1.0620000000,0.4726680311,1.0660000000,0.4728203909,1.0700000000,0.4729578400,1.0740000000,0.4730801586,1.0780000000,0.4731871510,1.0820000000,0.4732786460,1.0860000000,0.4733544973
2007/03/31,1.0600000000,0.4731680311,1.0640000000,0.4733203909,1.0680000000,0.4734578400,1.0720000000,0.4735801586,1.0760000000,0.4736871510,1.0800000000,0.4737786460,1.0840000000,0.4738544973,1.0880000000,0.4739145835
2007/06/30,1.0620000000,0.4738203909,1.0660000000,0.4739578400,1.0700000000,0.4740801586,1.0740000000,0.4741871510,1.0780000000,0.4742786460,1.0820000000,0.4743544973,1.0860000000,0.4744145835,1.0900000000,0.4744588084
2007/09/30,1.0640000000,0.4744578400,1.0680000000,0.4745801586,1.0720000000,0.4746871510,1.0760000000,0.4747786460,1.0800000000,0.4748544973,1.0840000000,0.4749145835,1.0880000000,0.4749588084,1.0920000000,0.4749871014
2007/12/31,1.0660000000,0.4750801586,1.0700000000,0.4751871510,1.0740000000,0.4752786460,1.0780000000,0.4753544973,1.0820000000,0.4754145835,1.0860000000,0.4754588084,1.0900000000,0.4754871014,1.0940000000,0.4754994172
2008/03/31,1.0680000000,0.4756871510,1.0720000000,0.4757786460,1.0760000000,0.4758544973,1.0800000000,0.4759145835,1.0840000000,0.4759588084,1.0880000000,0.4759871014,1.0920000000,0.4759994172,1.0960000000,0.4759957360
2008/06/30,1.0700000000,0.4762786460,1.0740000000,0.4763544973,1.0780000000,0.4764145835,1.0820000000,0.4764588084,1.0860000000,0.4764871014,1.0900000000,0.4764994172,1.0940000000,0.4764957360,1.0980000000,0.4764760638
2008/09/30,1.0720000000,0.4768544973,1.0760000000,0.4769145835,1.0800000000,0.4769588084,1.0840000000,0.4769871014,1.0880000000,0.4769994172,1.0920000000,0.4769957360,1.0960000000,0.4769760638,1.1000000000,0.4769404320
2008/12/31,1.0740000000,0.4774145835,1.0780000000,0.4774588084,1.0820000000,0.4774871014,1.0860000000,0.4774994172,1.0900000000,0.4774957360,1.0940000000,0.4774760638,1.0980000000,0.4774404320,1.1020000000,0.4773888977
2009/03/31,1.0760000000,0.4779588084,1.0800000000,0.4779871014,1.0840000000,0.4779994172,1.0880000000,0.4779957360,1.0920000000,0.4779760638,1.0960000000,0.4779404320,1.1000000000,0.4778888977,1.1040000000,0.4778215432
2009/06/30,1.0780000000,0.4784871014,1.0820000000,0.4784994172,1.0860000000,0.4784957360,1.0900000000,0.4784760638,1.0940000000,0.4784404320,1.0980000000,0.4783888977,1.1020000000,0.4783215432,1.1060000000,0.4782384763
2009/09/30,1.0800000000,0.4789994172,1.0840000000,0.4789957360,1.0880000000,0.4789760638,1.0920000000,0.4789404320,1.0960000000,0.4788888977,1.1000000000,0.4788215432,1.1040000000,0.4787384763,1.1080000000,0.4786398300
2009/12/31,1.0820000000,0.4794957360,1.0860000000,0.4794760638,1.0900000000,0.4794404320,1.0940000000,0.4793888977,1.0980000000,0.4793215432,1.1020000000,0.4792384763,1.1060000000,0.4791398300,1.1100000000,0.4790257619
2010/03/31,1.0840000000,0.4799760638,1.0880000000,0.4799404320,1.0920000000,0.4798888977,1.0960000000,0.4798215432,1.1000000000,0.4797384763,1.1040000000,0.4796398300,1.1080000000,0.4795257619,1.1120000000,0.4793964547
2010/06/30,1.0860000000,0.4804404320,1.0900000000,0.4803888977,1.0940000000,0.4803215432,1.0980000000,0.4802384763,1.1020000000,0.4801398300,1.1060000000,0.4800257619,1.1100000000,0.4798964547,1.1140000000,0.4797521152
2010/09/30,1.0880000000,0.4808888977,1.0920000000,0.4808215432,1.0960000000,0.4807384763,1.1000000000,0.4806398300,1.1040000000,0.4805257619,1.1080000000,0.4803964547,1.1120000000,0.4802521152,1.1160000000,0.4800929743
2010/12/31,1.0900000000,0.4813215432,1.0940000000,0.4812384763,1.0980000000,0.4811398300,1.1020000000,0.4810257619,1.1060000000,0.4808964547,1.1100000000,0.4807521152,1.1140000000,0.4805929743,1.1180000000,0.4804192865
2011/03/31,1.0920000000,0.4817384763,1.0960000000,0.4816398300,1.1000000000,0.4815257619,1.1040000000,0.4813964547,1.1080000000,0.4812521152,1.1120000000,0.4810929743,1.1160000000,0.4809192865,1.1200000000,0.4807313298
2011/06/30,1.0940000000,0.4821398300,1.0980000000,0.4820257619,1.1020000000,0.4818964547,1.1060000000,0.4817521152,1.1100000000,0.4815929743,1.1140000000,0.4814192865,1.1180000000,0.4812313298,1.1220000000,0.4810294048
2011/09/30,1.0960000000,0.4825257619,1.1000000000,0.4823964547,1.1040000000,0.4822521152,1.1080000000,0.4820929743,1.1120000000,0.4819192865,1.1160000000,0.4817313298,1.1200000000,0.4815294048,1.1240000000,0.4813138346
2011/12/31,1.0980000000,0.4828964547,1.1020000000,0.4827521152,1.1060000000,0.4825929743,1.1100000000,0.4824192865,1.1140000000,0.4822313298,1.1180000000,0.4820294048,1.1220000000,0.4818138346,1.1260000000,0.4815849640
